entry_key,source_row,occurrence,sequence,level,type,id,name,semantic_path,binding_path,value
"[""20220107"",""7""]",3861,D,0338,5,A,,taxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_TaxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax.cor_TaxCategory,S
"[""20220107"",""7""]",3861,D,0362,4,C,,detailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier,
"[""20220107"",""7""]",3861,D,0363,5,A,,accountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_AccountNumber,10E200150
"[""20220107"",""7""]",3861,D,0364,5,A,,accountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_AccountDescription,交際費
"[""20220107"",""7""]",3861,D,0377,5,C,,subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'],
"[""20220107"",""7""]",3861,D,0378,6,A,,subaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountDescription,札幌営業所
"[""20220107"",""7""]",3861,D,0379,6,A,,subaccountId,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountID,010
"[""20220107"",""7""]",3861,D,0380,6,A,,type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_Type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_Type,department
"[""20220107"",""7""]",3861,D,0383,4,A,,detailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,新年会会費 合同会社こもれび商事
"[""20220107"",""7""]",3861,D,0384,4,A,,monetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_MonetaryAmount,10000
"[""20220107"",""7""]",3861,D,0387,4,A,,debitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DebitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DebitCreditIndicator,D
"[""20220107"",""7""]",3861,C,0176,3,C,,entryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,
"[""20220107"",""7""]",3861,C,0331,4,C,,detailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax,
"[""20220107"",""7""]",3861,C,0335,5,A,,amountOfTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_AmountofTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax.cor_AmountofTaxes,0
"[""20220107"",""7""]",3861,C,0338,5,A,,taxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_TaxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax.cor_TaxCategory,O
"[""20220107"",""7""]",3861,C,0362,4,C,,detailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier,
"[""20220107"",""7""]",3861,C,0363,5,A,,accountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_AccountNumber,10A100020
"[""20220107"",""7""]",3861,C,0364,5,A,,accountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_AccountDescription,現金
"[""20220107"",""7""]",3861,C,0377,5,C,,subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'],
"[""20220107"",""7""]",3861,C,0378,6,A,,subaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountDescription,共通部門
"[""20220107"",""7""]",3861,C,0379,6,A,,subaccountId,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountID,000
"[""20220107"",""7""]",3861,C,0380,6,A,,type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_Type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_Type,department
"[""20220107"",""7""]",3861,C,0383,4,A,,detailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,新年会会費 合同会社こもれび商事
"[""20220107"",""7""]",3861,C,0384,4,A,,monetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_MonetaryAmount,10000
"[""20220107"",""7""]",3861,C,0387,4,A,,debitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DebitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DebitCreditIndicator,C
"[""20220107"",""20""]",,HEADER,0137,2,C,,entryHeader,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries.cor_EntryHeader,
"[""20220107"",""20""]",,HEADER,0138,3,A,,entryDatePosted,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,2022-01-07
"[""20220107"",""20""]",,HEADER,0150,3,A,,entryId,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,20
"[""20220107"",""20""]",3862,D,0176,3,C,,entryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,
"[""20220107"",""20""]",3862,D,0331,4,C,,detailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax,
"[""20220107"",""20""]",3862,D,0335,5,A,,amountOfTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_AmountofTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax.cor_AmountofTaxes,3545
"[""20220107"",""20""]",3862,D,0338,5,A,,taxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_TaxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax.cor_TaxCategory,S
"[""20220107"",""20""]",3862,D,0362,4,C,,detailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier,
"[""20220107"",""20""]",3862,D,0363,5,A,,accountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_AccountNumber,10E201230
"[""20220107"",""20""]",3862,D,0364,5,A,,accountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_AccountDescription,旅費及び交通費
"[""20220107"",""20""]",3862,D,0377,5,C,,subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'],
"[""20220107"",""20""]",3862,D,0378,6,A,,subaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountDescription,札幌営業所
"[""20220107"",""20""]",3862,D,0379,6,A,,subaccountId,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountID,010
"[""20220107"",""20""]",3862,D,0380,6,A,,type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_Type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_Type,department
"[""20220107"",""20""]",3862,D,0383,4,A,,detailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,旅費
"[""20220107"",""20""]",3862,D,0384,4,A,,monetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_MonetaryAmount,39000
"[""20220107"",""20""]",3862,D,0387,4,A,,debitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DebitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DebitCreditIndicator,D
"[""20220107"",""20""]",3862,C,0176,3,C,,entryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,
"[""20220107"",""20""]",3862,C,0331,4,C,,detailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax,
"[""20220107"",""20""]",3862,C,0335,5,A,,amountOfTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_AmountofTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax.cor_AmountofTaxes,0
"[""20220107"",""20""]",3862,C,0338,5,A,,taxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_TaxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax.cor_TaxCategory,O
"[""20220107"",""20""]",3862,C,0362,4,C,,detailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier,
"[""20220107"",""20""]",3862,C,0363,5,A,,accountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_AccountNumber,10A100020
"[""20220107"",""20""]",3862,C,0364,5,A,,accountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_AccountDescription,現金
"[""20220107"",""20""]",3862,C,0377,5,C,,subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'],
"[""20220107"",""20""]",3862,C,0378,6,A,,subaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountDescription,共通部門
"[""20220107"",""20""]",3862,C,0379,6,A,,subaccountId,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountID,000
"[""20220107"",""20""]",3862,C,0380,6,A,,type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_Type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_Type,department
"[""20220107"",""20""]",3862,C,0383,4,A,,detailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,旅費
"[""20220107"",""20""]",3862,C,0384,4,A,,monetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_MonetaryAmount,39000
"[""20220107"",""20""]",3862,C,0387,4,A,,debitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DebitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DebitCreditIndicator,C
"[""20220107"",""21""]",,HEADER,0137,2,C,,entryHeader,$.cor_AccountingEntries.cor_EntryHeader,$.cor_AccountingEntries.cor_EntryHeader,
"[""20220107"",""21""]",,HEADER,0138,3,A,,entryDatePosted,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,2022-01-07
"[""20220107"",""21""]",,HEADER,0150,3,A,,entryId,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,21
"[""20220107"",""21""]",3863,D,0176,3,C,,entryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,
"[""20220107"",""21""]",3863,D,0331,4,C,,detailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax,
"[""20220107"",""21""]",3863,D,0335,5,A,,amountOfTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_AmountofTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax.cor_AmountofTaxes,6318
"[""20220107"",""21""]",3863,D,0338,5,A,,taxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_TaxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailTax.cor_TaxCategory,S
"[""20220107"",""21""]",3863,D,0362,4,C,,detailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier,
"[""20220107"",""21""]",3863,D,0363,5,A,,accountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_AccountNumber,10E201230
"[""20220107"",""21""]",3863,D,0364,5,A,,accountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_AccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_AccountDescription,旅費及び交通費
"[""20220107"",""21""]",3863,D,0377,5,C,,subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'],
"[""20220107"",""21""]",3863,D,0378,6,A,,subaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountDescription,札幌営業所
"[""20220107"",""21""]",3863,D,0379,6,A,,subaccountId,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_SubaccountID,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountID,010
"[""20220107"",""21""]",3863,D,0380,6,A,,type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailAccountIdentifier.cor_Subaccount.cor_Type,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_Type,department
"[""20220107"",""21""]",3863,D,0383,4,A,,detailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailDescription,架空鉄道会社A代
"[""20220107"",""21""]",3863,D,0384,4,A,,monetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_MonetaryAmount,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_MonetaryAmount,69500
"[""20220107"",""21""]",3863,D,0387,4,A,,debitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DebitCreditIndicator,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DebitCreditIndicator,D
"[""20220107"",""21""]",3863,C,0176,3,C,,entryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,
"[""20220107"",""21""]",3863,C,0331,4,C,,detailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax,
"[""20220107"",""21""]",3863,C,0335,5,A,,amountOfTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_AmountofTaxes,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax.cor_AmountofTaxes,0
"[""20220107"",""21""]",3863,C,0338,5,A,,taxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailTax.cor_TaxCategory,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='C'].cor_DetailTax.cor_TaxCategory,O
